,lon,lat,wind_cf,geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region
219,-84.25925,33.891705,0.213195042,POINT (-84.25924999999999 33.891705),93,94,94,26.9704401842,14.6481418759,p94,rto9,SERC
220,-84.25925,33.891705,0.213195042,POINT (-84.25924999999999 33.891705),93,94,94,26.9704401842,14.6481418759,p94,rto9,SERC
222,-84.241196,33.71465,0.217805179,POINT (-84.241196 33.71465),93,94,94,26.9704401842,14.6481418759,p94,rto9,SERC
209,-84.996544,42.297195,0.34891410700000003,POINT (-84.996544 42.297195),102,103,103,43.0721193028,12.5578190705,p103,rto6,MISO
228,-83.05792,42.368496,0.290713388,POINT (-83.05792 42.368496),102,103,103,43.0721193028,12.5578190705,p103,rto6,MISO
211,-84.52207,39.095818,0.238694303,POINT (-84.52207 39.095818),113,114,114,4.06189724742,0.605780842917,p114,rto7,PJM
212,-84.52207,39.095818,0.238694303,POINT (-84.52207 39.095818),113,114,114,4.06189724742,0.605780842917,p114,rto7,PJM
224,-83.58117,41.569046,0.332468064,POINT (-83.58117 41.569046),110,111,111,13.9972524215,2.26573787203,p111,rto7,PJM
225,-83.58117,41.569046,0.332468064,POINT (-83.58117 41.569046),110,111,111,13.9972524215,2.26573787203,p111,rto7,PJM
233,-82.16141,41.389362,0.34938282600000004,POINT (-82.16141 41.389362),110,111,111,13.9972524215,2.26573787203,p111,rto7,PJM
238,-81.58617,41.252834,0.30157015800000003,POINT (-81.58617 41.252834),110,111,111,13.9972524215,2.26573787203,p111,rto7,PJM
239,-81.446175,41.594883,0.339415134,POINT (-81.446175 41.594883),110,111,111,13.9972524215,2.26573787203,p111,rto7,PJM
241,-80.83782,41.109916999999996,0.299951435,POINT (-80.83781999999999 41.109917),110,111,111,13.9972524215,2.26573787203,p111,rto7,PJM
229,-83.01392,39.951336,0.260601985,POINT (-83.01392 39.951336),111,112,112,17.8498439106,7.52111139004,p112,rto7,PJM
230,-82.98567,39.954483,0.262641771,POINT (-82.98567 39.954483),111,112,112,17.8498439106,7.52111139004,p112,rto7,PJM
231,-82.754166,30.26659,0.17774008800000002,POINT (-82.754166 30.26659),100,101,101,68.9636805491,9.7313144085,p101,rto16,SERC
232,-82.39444,28.16562,0.158766068,POINT (-82.39444 28.16562),100,101,101,68.9636805491,9.7313144085,p101,rto16,SERC
235,-81.73375,26.173378,0.16049798,POINT (-81.73375 26.173378),100,101,101,68.9636805491,9.7313144085,p101,rto16,SERC
236,-81.68130500000001,30.321478000000003,0.16385835599999998,POINT (-81.68130500000001 30.321478),100,101,101,68.9636805491,9.7313144085,p101,rto16,SERC
237,-81.68130500000001,30.321478000000003,0.16385835599999998,POINT (-81.68130500000001 30.321478),100,101,101,68.9636805491,9.7313144085,p101,rto16,SERC
234,-81.96006,33.54824,0.225053741,POINT (-81.96006 33.54824),95,96,96,21.6004695885,5.77560437678,p96,rto15,SERC
245,-79.84392,34.193092,0.273012374,POINT (-79.84392 34.193092),95,96,96,21.6004695885,5.77560437678,p96,rto15,SERC
240,-80.86104,35.80975,0.21453697600000002,POINT (-80.86104 35.80975),96,97,97,14.5806986298,5.09334969812,p97,rto15,SERC
242,-80.70733,28.190459999999998,0.19183450100000002,POINT (-80.70733 28.19046),101,102,102,23.8687718418,1.93264595929,p102,rto16,SERC
243,-80.16858,26.08194,0.154262065,POINT (-80.16858000000001 26.08194),101,102,102,23.8687718418,1.93264595929,p102,rto16,SERC
244,-80.16858,26.08194,0.154262065,POINT (-80.16858000000001 26.08194),101,102,102,23.8687718418,1.93264595929,p102,rto16,SERC
246,-79.60218,40.2194,0.282510092,POINT (-79.60218 40.2194),114,115,115,6.85342046202,1.6264207183,p115,rto7,PJM
247,-79.60218,40.2194,0.282510092,POINT (-79.60218 40.2194),114,115,115,6.85342046202,1.6264207183,p115,rto7,PJM
248,-79.54160999999999,37.649723,0.173944956,POINT (-79.54160999999999 37.649723),98,99,99,44.5225953591,6.73550875968,p99,rto7,PJM
249,-79.54160999999999,37.649723,0.173944956,POINT (-79.54160999999999 37.649723),98,99,99,44.5225953591,6.73550875968,p99,rto7,PJM
250,-79.53533,37.653729999999996,0.187011492,POINT (-79.53533 37.65373),98,99,99,44.5225953591,6.73550875968,p99,rto7,PJM
251,-79.53016,37.657024,0.187011492,POINT (-79.53016 37.657024),98,99,99,44.5225953591,6.73550875968,p99,rto7,PJM
256,-77.17415,38.791748,0.27073635100000004,POINT (-77.17415 38.791748),98,99,99,44.5225953591,6.73550875968,p99,rto7,PJM
257,-77.17415,38.791748,0.27073635100000004,POINT (-77.17415 38.791748),98,99,99,44.5225953591,6.73550875968,p99,rto7,PJM
252,-78.91360999999999,42.70615,0.37374617,POINT (-78.91360999999999 42.70615),126,127,127,32.618862044,13.560839041,p127,rto17,NYISO
265,-76.163795,43.09295,0.302448431,POINT (-76.16379499999999 43.09295),126,127,127,32.618862044,13.560839041,p127,rto17,NYISO
275,-74.15621999999999,41.117979999999996,0.267820208,POINT (-74.15621999999999 41.11798),126,127,127,32.618862044,13.560839041,p127,rto17,NYISO
276,-73.84496,42.700447,0.335064145,POINT (-73.84496 42.700447),126,127,127,32.618862044,13.560839041,p127,rto17,NYISO
277,-73.670074,40.987305,0.28605990000000003,POINT (-73.670074 40.987305),126,127,127,32.618862044,13.560839041,p127,rto17,NYISO
278,-73.670074,40.987305,0.28605990000000003,POINT (-73.670074 40.987305),126,127,127,32.618862044,13.560839041,p127,rto17,NYISO
