,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory
142,Pasadena Cogeneration,55047_G_CTG2,55047,G,CTG2,3832.0,Combined Cycle,,ERC_REST,Texas,48.0,Harris,201.0,48201.0,165.0,6694.0,2000.0,9999,,,Y,Natural Gas,,,,,SCR,2000.0,,,,,,,,0.02728,0.02728,0.02728,0.02728,,,,,,,,,,,,Natural Gas,55047.0,29.72475,-95.176479,,,,,,,3.419101677638398,117.0,4.0,52.47,16844.81991996443,66.0,0.0,13170.0,3.5999999999999996,26.487466630111435,1,0.0,1,1,0,False,False,False,55047+CTG2,,,,,,,,,,,,
143,Pasadena Cogeneration,55047_G_CTG3,55047,G,CTG3,3833.0,Combined Cycle,,ERC_REST,Texas,48.0,Harris,201.0,48201.0,165.0,6694.0,2000.0,9999,,,Y,Natural Gas,,,,,SCR,2000.0,,,,,,,,0.02728,0.02728,0.02728,0.02728,,,,,,,,,,,,Natural Gas,55047.0,29.72475,-95.176479,,,,,,,3.419101677638398,117.0,4.0,52.47,16844.81991996443,66.0,0.0,13170.0,3.5999999999999996,26.487466630111435,1,0.0,1,1,0,False,False,False,55047+CTG3,,,,,,,,,,,,
144,Pasadena Cogeneration,55047_G_STG1,55047,G,STG1,,Combined Cycle,,ERC_REST,Texas,48.0,Harris,201.0,48201.0,60.0,6694.0,1998.0,9999,,,Y,Natural Gas,,,,,SCR,1998.0,,,,,,,,0.01493,0.01493,0.01493,0.01493,,,,,,,,,,,,Natural Gas,55047.0,29.72475,-95.176479,,,,,,,3.419101677638398,117.0,4.0,38.34,6125.3890618052465,24.0,0.0,13170.0,3.5999999999999996,26.487466630111435,1,0.0,1,1,0,False,False,False,55047+STG1,,,,,,,,,,,,
145,Pasadena Cogeneration,55047_G_STG2,55047,G,STG2,,Combined Cycle,,ERC_REST,Texas,48.0,Harris,201.0,48201.0,165.0,6694.0,2000.0,9999,,,Y,Natural Gas,,,,,SCR,2000.0,,,,,,,,0.02728,0.02728,0.02728,0.02728,,,,,,,,,,,,Natural Gas,55047.0,29.72475,-95.176479,,,,,,,3.419101677638398,117.0,4.0,52.47,16844.81991996443,66.0,0.0,13170.0,3.5999999999999996,26.487466630111435,1,0.0,1,1,0,False,False,False,55047+STG2,,,,,,,,,,,,
146,Tenaska Frontier Generation Station,55062_G_GTG1,55062,G,GTG1,3843.0,Combined Cycle,,ERC_FRNT,Texas,48.0,Grimes,185.0,48185.0,155.0,7077.0,2000.0,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB,,,,,,,,,,0.03723,0.03723,0.03723,0.03723,,,,,,,,,,,,Natural Gas,55062.0,30.5924,-95.9178,,,,,,,3.419101677638398,117.0,4.0,49.29,15823.921742996887,62.0,0.0,13170.0,3.5999999999999996,27.79698257264694,1,0.0,1,1,0,False,False,False,55062+GTG1,,,,,,,,,,,,
147,Tenaska Frontier Generation Station,55062_G_GTG2,55062,G,GTG2,3844.0,Combined Cycle,,ERC_FRNT,Texas,48.0,Grimes,185.0,48185.0,155.0,7077.0,2000.0,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB,,,,,,,,,,0.03723,0.03723,0.03723,0.03723,,,,,,,,,,,,Natural Gas,55062.0,30.5924,-95.9178,,,,,,,3.419101677638398,117.0,4.0,49.29,15823.921742996887,62.0,0.0,13170.0,3.5999999999999996,27.79698257264694,1,0.0,1,1,0,False,False,False,55062+GTG2,,,,,,,,,,,,
148,Tenaska Frontier Generation Station,55062_G_GTG3,55062,G,GTG3,3845.0,Combined Cycle,,ERC_FRNT,Texas,48.0,Grimes,185.0,48185.0,155.0,7077.0,2000.0,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB,,,,,,,,,,0.03723,0.03723,0.03723,0.03723,,,,,,,,,,,,Natural Gas,55062.0,30.5924,-95.9178,,,,,,,3.419101677638398,117.0,4.0,49.29,15823.921742996887,62.0,0.0,13170.0,3.5999999999999996,27.79698257264694,1,0.0,1,1,0,False,False,False,55062+GTG3,,,,,,,,,,,,
149,Tenaska Frontier Generation Station,55062_G_STG1,55062,G,STG1,,Combined Cycle,,ERC_FRNT,Texas,48.0,Grimes,185.0,48185.0,395.0,7077.0,2000.0,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB,,,,,,,,,,0.03723,0.03723,0.03723,0.03723,,,,,,,,,,,,Natural Gas,55062.0,30.5924,-95.9178,,,,,,,3.419101677638398,117.0,4.0,125.61,40325.47799021787,158.0,0.0,13170.0,3.5999999999999996,27.79698257264694,1,0.0,1,1,0,False,False,False,55062+STG1,,,,,,,,,,,,
150,Gregory Power Facility,55086_G_GT1A,55086,G,GT1A,3863.0,Combined Cycle,,ERC_REST,Texas,48.0,San Patricio,409.0,48409.0,141.0,5500.0,2000.0,9999,,,Y,Natural Gas,,,,DLNB,,,,,,,,,,0.03435,0.03435,0.03435,0.03435,,,,,,,,,,,,Natural Gas,55086.0,27.88929,-97.258417,,,,,,,3.419101677638398,117.0,4.0,44.838,14394.66429524233,56.400000000000006,0.0,13170.0,3.5999999999999996,22.405059227011186,1,0.0,1,1,0,False,False,False,55086+GT1A,,,,,,,,,,,,
151,Gregory Power Facility,55086_G_GT1B,55086,G,GT1B,3864.0,Combined Cycle,,ERC_REST,Texas,48.0,San Patricio,409.0,48409.0,140.0,5500.0,2000.0,9999,,,Y,Natural Gas,,,,DLNB,,,,,,,,,,0.03435,0.03435,0.03435,0.03435,,,,,,,,,,,,Natural Gas,55086.0,27.88929,-97.258417,,,,,,,3.419101677638398,117.0,4.0,44.52,14292.574477545575,56.0,0.0,13170.0,3.5999999999999996,22.405059227011186,1,0.0,1,1,0,False,False,False,55086+GT1B,,,,,,,,,,,,
152,Gregory Power Facility,55086_G_STG,55086,G,STG,,Combined Cycle,,ERC_REST,Texas,48.0,San Patricio,409.0,48409.0,85.0,5500.0,2000.0,9999,,,Y,Natural Gas,,,,DLNB,,,,,,,,,,0.03435,0.03435,0.03435,0.03435,,,,,,,,,,,,Natural Gas,55086.0,27.88929,-97.258417,,,,,,,3.419101677638398,117.0,4.0,54.315,8677.6345042241,34.0,0.0,13170.0,3.5999999999999996,22.405059227011186,1,0.0,1,1,0,False,False,False,55086+STG,,,,,,,,,,,,
